2	41.8	-13.87	16.68
4	27.98	-26.96	12.96
12	17.09	-57.99	12.14
16	15.68	-49.38	10.73
35	0.28	-0.14	0.12
55	35.07	-22.69	15.02
64	-29.63	-145.36	3.58
66	-28.77	-139.5	3.3
68	5.54	-72.19	9.12
70	41.86	-44.5	19.58
76	48.88	-37.95	21.47
80	40.32	-78.34	22.28
92	28.11	-38.88	13.96
94	36.32	11.03	12.07
96	66.78	-120.32	35.95
102	37.63	-23.43	15.9
114	-30.06	-142.5	2.75
115	43.12	-128.72	27.79
120	30.04	-28.48	13.58
123	15.83	-106.41	15.89
124	25.6	-51.92	14.21
128	94.25	-64.65	40.22
143	-0.59	4.29	-0.61
145	-6.64	-93.15	6.36
146	37.09	-43.49	17.45
155	41.92	-59.16	20.65
165	52.91	-43.71	23.07
171	21.46	5.11	7.25
176	19.6	-56.26	12.18
179	26.06	-42.47	13.23
182	-37.32	-108.33	-3.59
186	47.8	-53.39	22
196	-28.66	-143.95	2.65
201	36.28	-71.11	19.4
205	24.1	-62.78	14.23
212	64.93	-80.54	30.41
216	32.88	-66.04	17.6
218	4.19	-5.16	1.96
222	45.99	-44.83	20.42
224	-42.71	-92.77	-7.12
226	57.03	-93.22	28.62
247	91.27	-133.44	44.18
250	47.4	-45.26	20.88
257	56.48	-44.3	24
258	49.34	-96.11	25.91
259	36.48	-44.84	16.9
262	-27.87	-82.75	-2.83
265	-44.02	-92.95	-7.73
279	12.94	-13.49	5.77
280	-44.58	-91.71	-8.08
282	22.39	-104.61	16.89
291	-44.35	-91.94	-8.05
292	-49.17	-104.47	-8.71
293	10.58	-67.72	9.48
296	40.58	-60.86	19.58
298	27.94	-27.25	12.24
301	22.25	-40	11.25
303	35.89	-25.17	14.87
305	12.87	-23.46	6.53
309	35.17	-22.71	14.38
312	9.43	-32.66	5.97
322	-8.29	-76.21	3.32
329	24.32	-61.87	13.7
331	-48.92	-88.95	-10.1
337	-49.03	-72.46	-11.5
345	37.27	-42.35	16.64
354	27.89	-48.56	13.79
362	-43.12	-92.99	-7.81
366	28.42	-49.77	14.04
367	8.65	-69.48	8.6
374	-43.7	-93.38	-8.07
382	-43.37	-93.93	-7.91
383	-41.83	-93.22	-7.43
388	-0.3	-4.38	0.24
393	84.84	-17.37	31.33
399	-47.38	-88.59	-9.8
415	52.57	-42.86	21.87
424	8.8	-52.46	7.14
426	45.26	-44.12	19.37
431	42.68	-41.66	18.25
448	-9.47	-86.47	3.28
449	-43.91	-87.68	-8.76
451	28.77	-37.56	13.01
456	-43.64	-93.14	-8.27
461	48.35	-9.06	17.7
462	1.49	-77.33	6.39
465	57.16	-91.8	27.06
468	-48.18	-94.08	-9.83
484	-47.8	-89.49	-10.11
485	19.1	-53.97	10.74
507	52.07	-44.47	21.56
511	22.96	-42.87	11.22
514	-43.88	-91.99	-8.64
515	24.37	-39.48	11.43
517	48.64	-53.11	20.94
524	22.56	-42.41	11.02
526	-43.06	-92.98	-8.3
527	33.93	-15.24	13
548	29.62	-39.02	13.19
558	3.72	-97.24	8.28
559	29.18	-38.91	12.99
564	31.21	-25.15	12.71
567	53.19	-42.92	21.65
569	35.68	-23.86	14.17
591	0.07	-0.03	0.03
608	36.19	-23.74	14.21
613	31.85	-49.33	14.42
616	55.77	-93.08	25.64
617	61.72	-50.99	24.9
619	31.8	-25.78	12.8
621	0.07	0.39	0
627	-1.14	-12.03	0.41
634	-10.29	-64.15	0.65
635	18.89	-84.2	12.09
638	69.19	-27.49	25.8
641	-43.29	-93.05	-8.92
642	34.25	-18.73	13.09
644	30.02	-27.11	12.15
650	36.42	-23.53	14.14
654	28.85	-25.05	11.57
657	56.39	-84.38	24.88
658	34.31	-50.66	15.09
659	-9.29	-64.53	0.9
676	43.65	-14.36	15.95
680	48.37	-15.15	17.61
690	59.27	-47.4	23.28
693	122.69	-101.94	48.38
695	-10.46	-13.34	-2.79
698	30.64	-26.27	12.13
705	49.3	-36.47	19.14
709	58.25	-46.02	22.77
718	16.63	-56.12	8.97
725	-20.5	-53.77	-3.9
727	62.01	-87.23	26.36
731	59.18	-45.3	22.92
732	30.8	-26.48	12.1
742	56.74	-43.42	21.94
743	22.39	-73.44	11.87
753	-48.08	-80.79	-11.86
759	36.14	-23.72	13.73
767	36.18	-23.4	13.7
772	71.3	-61.86	27.83
789	-11.36	-74.52	0.2
791	59.07	-45.3	22.63
798	27.43	-48	11.95
801	-48.49	-81.1	-12.16
810	52.99	-42.09	20.27
816	58.47	-45.51	22.28
817	-6.97	-74.1	1.5
830	30.56	-25.69	11.7
832	74.33	-65.72	28.58
833	33.65	-47.31	13.82
835	52.73	-41.92	20.02
836	19.62	-45.99	9
843	-4.49	-100.73	3.55
847	50.15	-48.77	19.46
848	48.61	-37.59	18.38
858	44.72	-102.38	20.15
859	38.26	-69.15	16.31
865	38.42	-37.73	14.8
866	54.7	-42.03	20.5
869	35.56	-22.94	13.1
874	39.84	-20.03	14.39
880	35.12	-107.99	16.92
892	-31.53	-145.2	-3.98
897	29.49	-33.98	11.47
902	15.94	-47.18	7.47
906	44.84	-13.51	15.67
908	50.84	-37.04	18.72
912	32.21	-26.44	11.95
916	34.49	-98.6	15.91
924	7.74	-10.49	3.05
930	0.04	-1.61	0.08
937	27.47	-45.82	11.13
944	23.53	-77.51	11.11
948	8.93	-18.4	3.76
963	13.77	-32.5	5.93
976	26.24	-42.28	10.48
978	32.7	-36.16	12.38
982	-24.52	-36.34	-6.74
983	14.48	-48.64	6.77
997	103.5	-121.68	39.2
1011	14.28	-47.2	6.56
1014	0.28	1.14	0.05
1022	22.11	-69.8	9.98
1024	-48.54	-80.79	-13.12
1034	0.03	-0.56	0.03
1037	32.35	-37.34	12.12
1038	0.29	2.36	0.01
1047	-9.77	-70.87	-0.71
1051	23.81	-28.71	8.91
1056	30.37	-39.34	11.44
1089	35.14	-25.77	12.45
1106	18.21	-30.58	6.97
1107	4.48	-6.16	1.67
1109	11.41	-33.64	4.8
1115	15.7	-60.75	7.01
1123	41.51	-18.11	14.21
1130	2.65	-28.6	1.72
1137	36.23	-98.15	14.84
1139	26.4	-44.89	9.98
1149	20.41	-65.61	8.56
1152	18.52	-52.57	7.54
1154	35.08	-25.41	12.22
1158	41.17	-36.51	14.5
1160	4.52	-6.42	1.66
1170	39.29	-34.97	13.78
1172	-46.16	-71.96	-13.22
1173	-10.7	-71.66	-1.64
1175	35.8	-39.74	12.72
1176	-14.08	-65.45	-2.91
1196	31.77	-34.98	11.23
1198	45.36	-13.59	15.14
1201	19.78	-61.28	7.92
1211	11.65	-71.91	5.49
1223	17.33	-61.23	7.03
1226	44.17	-13.86	14.69
1228	20.42	-53.72	7.85
1231	29.33	-27.09	10.13
1236	2.5	-72.51	2.39
1237	65.03	-78.83	22.82
1238	33.17	-35.36	11.56
1241	0.78	-94.78	2.29
1248	15.54	-64.97	6.38
1258	32.24	-37.55	11.21
1264	43.97	-14.48	14.53
1265	28.71	-38.16	10.08
1273	31.92	-35.24	10.99
1276	39.11	-35.69	13.32
1285	27.18	-41.81	9.58
1286	50.11	-52.21	17.13
1288	10.26	-31.71	3.88
1291	39.21	-106.94	14.56
1292	4.41	-6.36	1.54
1293	44.39	-55	15.34
1294	32.95	-35.07	11.28
1295	-40.81	-76.21	-11.84
1301	27.62	-44.88	9.65
1305	-4.51	0.44	-1.46
1315	44.14	-14.35	14.43
1325	2.25	-73.27	1.82
1332	80.12	-134.57	27.7
1339	37.19	-36.67	12.48
1340	38.59	-36.68	12.88
1346	58.65	-95.4	20.14
1347	83.92	-69.31	27.85
1351	36.84	-35.26	12.27
1361	50.77	-37.08	16.73
1362	38.27	-35.7	12.71
1371	38.16	-36.42	12.66
1372	31.68	-36.16	10.6
1375	37.97	-36.14	12.59
1381	48.31	-92.14	16.51
1382	37.39	-35.59	12.38
1384	44.17	-41.91	14.61
1387	52.08	-38.3	17.11
1404	15.23	-56.75	5.44
1407	38.34	-37.11	12.6
1413	29.75	-27.09	9.74
1414	44.4	-12.91	14.28
1419	13.57	-37.27	4.66
1422	36.65	-37.24	11.99
1426	27.89	-40.61	9.24
1439	50.56	-37.35	16.37
1451	15.58	-54.2	5.35
1460	69	-50.13	22.22
1461	36.26	-60.56	11.88
1462	87.48	-78.39	28.24
1470	10.88	-60.09	3.81
1472	86.39	-74.53	27.81
1474	3.71	-70.15	1.57
1478	30.82	-36.43	9.98
1481	-49.97	-85.5	-15.37
1511	30.44	-37.97	9.68
1516	48.99	-37.71	15.5
1520	38.89	-34.59	12.3
1524	51.94	-44.02	16.4
1526	12.72	-67.61	3.99
1534	13.87	-36.83	4.33
1542	13.22	-68.4	4.07
